# domain	ip	group	delay_ms	speed_mb_s	loss_percent	colo	verified_at	http_code	status
api.m-team.cc	172.64.229.44	normal	72	44.47	0	NRT	2026-09-24T11:50:16+08:00	-	SELECTED
h5.m-team.cc	172.64.229.44	latency	72	44.47	0	NRT	2026-09-24T11:50:16+08:00	200	VERIFIED
hdtime.org	172.64.154.89	bandwidth	94.84	45.44	0	SIN	2026-09-24T11:50:16+08:00	200	VERIFIED
kp.m-team.cc	172.64.154.89	bandwidth	94.84	45.44	0	SIN	2026-09-24T11:50:16+08:00	200	VERIFIED
pt.xingyungept.org	172.64.229.44	latency	72	44.47	0	NRT	2026-09-24T11:50:16+08:00	200	VERIFIED
ptcafe.club	162.159.38.21	latency	-	-	-	-	2026-09-24T11:50:16+08:00	200	VERIFIED
ptzone.xyz	172.64.229.44	latency	72	44.47	0	NRT	2026-09-24T11:50:16+08:00	200	VERIFIED
static.m-team.cc	172.64.229.44	latency	72	44.47	0	NRT	2026-09-24T11:50:16+08:00	200	VERIFIED
tracker.hdtime.org	172.64.229.44	latency	72	44.47	0	NRT	2026-09-24T11:50:16+08:00	200	VERIFIED
tracker.m-team.cc	172.64.229.44	latency	72	44.47	0	NRT	2026-09-24T11:50:16+08:00	200	VERIFIED
tracker.m-team.io	172.64.229.44	latency	72	44.47	0	NRT	2026-09-24T11:50:16+08:00	200	VERIFIED
tracker.ptcafe.club	162.159.38.21	latency	-	-	-	-	2026-09-24T11:50:16+08:00	200	VERIFIED
tracker.xingyungept.org	172.64.154.89	latency	94.84	45.44	0	SIN	2026-09-24T11:50:16+08:00	200	VERIFIED
www.pttime.org	172.64.229.44	latency	72	44.47	0	NRT	2026-09-24T11:50:16+08:00	200	VERIFIED
